업체명,일반회원분배금,출판사해외,출판사국내,면세대상,과세대상,부가세,청구금액,청구금액(VAT포함),실청구금액,실면세대상,실청구금액(VAT포함)
KBS,29006534.344968557,2213596.1735714204,11432723.145429088,31220130.518539976,11432723.145429088,1143272.314542909,42652853.66396906,43796125.9785114,44430000.0,32997276.85457091,45573272.31454291
MBC,11702954.45291439,473715.12162430875,9634619.02412502,12176669.5745387,9634619.02412502,963461.902412502,21811288.598663718,22774750.50107639,22720000.0,13085380.97587498,23683461.9024125
SBS,4892816.448120739,2065896.4834145957,7201364.116498931,6958712.931535335,7201364.116498931,720136.4116498932,14160077.048034266,14880213.459684262,14750000.0,7548635.883501069,15470136.411649894
